"","Country","Year","Total","Female","Per.F","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","Real"
"1","Algeria","2001","1,023,799","41,793",4.1,7.7,7.4,7.1,7.2,7.7,8.4,8.9,9.2,9.1,8.7,8.4,8,7.6,7.2,7,6.8,6.4,6.1,5.6,5.1,5,5,5,5,5,8.4
"2","American Samoa","2008","5,840","1,133",19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Argentina","2002","202,423","32,768",16.2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"4","Austria","2010","150,170","51,780",34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Bangladesh","2008","28,695,763","1,322,937",4.6,32.8,33.2,34.7,36.3,36.9,36.1,34.1,30.8,26.9,23.1,20.6,19.1,18.3,17.5,17.1,16.8,16.9,17,17.2,17.2,17.3,17.3,17.2,16.9,16.4,17
"6","Belgium","2010","42,850","6,450",15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Belize","2003","9,697","790",8.1,9.7,8.5,7.3,6.6,6.5,6.7,7,7.2,7,6.5,5.8,5.3,5,5,5,5,5.1,5.4,5.7,5.7,5.7,5.9,6.2,6.3,6.2,5
"8","Botswana","2004","50,690","17,576",34.7,25.1,26.7,28.6,30.4,30.1,29.6,30,32.1,34.5,35.6,36,35.5,35.1,34,32.8,32.2,32.4,32.5,31.8,30.4,28.7,27,25.8,24.8,24.1,34
"9","Brazil","2006","5,175,636","656,255",12.7,14.8,14.3,14.3,14.1,13.8,13.6,13.3,13.1,12.9,12.3,11.2,9.6,7.8,6.1,5,5,5,5,5,5,5,5,5,5,5,5
"10","Bulgaria","2010","370,490","84,350",22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Burkina Faso","1993","886,638","74,559",8.4,26,24.5,23.2,21.9,21.1,20.9,21.9,23.5,25.3,26.6,27.6,28,27.6,26.8,25.9,25.5,24.8,24.2,23.3,22.5,21.7,21.2,20.8,20.7,20.7,23.2
"12","Canada","2011","293,925","80,665",27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Chile","2007","268,787","80,255",29.9,9,8.1,7.1,6.3,5.8,5.5,5.3,5.2,5.1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
